id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
1,Retirement,2012.0,Permanent Full-time,True,False,False,True,False,False,Male,56 or older,More than 20 years,dete
3,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,1-2,dete
4,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,36-40,7-10,dete
5,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
6,Resignation,2012.0,Permanent Full-time,False,True,False,False,True,False,Female,41-45,11-20,dete
7,Retirement,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,56 or older,More than 20 years,dete
8,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
9,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,31-35,3-4,dete
10,Resignation,2012.0,Permanent Part-time,False,False,True,True,False,False,Female,46-50,11-20,dete
11,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,56 or older,11-20,dete
12,Resignation,2012.0,Permanent Full-time,False,False,False,False,True,False,Male,31-35,3-4,dete
13,Resignation,2012.0,Permanent Full-time,False,False,False,False,True,False,Female,36-40,11-20,dete
14,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
15,Resignation,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,31-35,5-6,dete
16,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,11-20,dete
18,Retirement,2012.0,Permanent Full-time,False,False,False,False,True,False,Female,56 or older,11-20,dete
19,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,5-6,dete
20,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
21,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
22,Resignation,2012.0,Permanent Part-time,False,False,True,False,False,False,Female,51-55,More than 20 years,dete
23,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,46-50,11-20,dete
24,Resignation,2012.0,Permanent Full-time,False,False,False,True,True,False,Female,56 or older,More than 20 years,dete
25,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
26,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,41-45,11-20,dete
27,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
28,Resignation,2012.0,Permanent Full-time,True,False,False,False,False,False,Female,21-25,7-10,dete
29,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
30,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
31,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,True,Female,56 or older,More than 20 years,dete
32,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
